date,avg_temp,low_temp,high_temp
2022-05-01,13.4,7.9,19.2
2022-05-02,14.2,9.1,19.4
2022-05-03,14.8,9.1,20.8
2022-05-04,17.8,10,25.2
2022-05-05,18.9,12.5,25.8
2022-05-06,19.6,13.7,25.6
2022-05-07,18.4,15.3,23.1
2022-05-08,15.3,11.7,18.2
2022-05-09,17.9,11,25.3
2022-05-10,19.9,13.6,26.3
2022-05-11,19.7,16.6,25.2
2022-05-12,20.9,14.1,28.1
2022-05-13,19.4,15,25.2
2022-05-14,15.7,11.9,20
2022-05-15,16.2,10.5,22.4
2022-05-16,17.3,10.9,23.7
2022-05-17,20,13,27.4
2022-05-18,20,15.7,25.4
2022-05-19,19.9,16.1,24.2
2022-05-20,20.6,15.6,25.8
2022-05-21,20.1,16.1,26
2022-05-22,20.3,15.7,25.8
2022-05-23,23,17.8,30.7
2022-05-24,22.9,16.7,30.2
2022-05-25,21,16.7,26.7
2022-05-26,18.7,14.1,23.5
2022-05-27,20,16,25.6
2022-05-28,22.3,15,29.3
2022-05-29,23.1,19.3,29.7
2022-05-30,20.8,17.2,24.7
2022-05-31,20.7,14.2,27.2
