no,value1
1,29
2,23
3,19
4,17
5,23
6,24
7,32
8,26
9,27
10,29
11,29
12,26
13,18
14,15
15,22
16,24
17,27
18,25
19,30
20,29
21,31
22,25
23,17
24,17
25,20
26,22
27,26
28,27
29,33
30,29
31,30
32,24
33,17
34,17
35,33
36,19
37,26
38,25
39,35
40,23
41,26
42,19
43,19
44,18
45,32
46,20
47,25
48,27
49,37
50,24
51,26
52,14
53,19
54,17
55,32
56,17
57,25
58,20
59,35
60,44
61,27
62,15
63,12
64,19
65,29
66,12
67,17
68,20
69,15
70,41
71,26
72,17
73,17
74,17
75,32
76,19
77,17
78,19
79,18
80,29
81,25
82,27
83,15
84,19
85,34
86,18
87,20
88,17
89,20
90,26
91,28
92,30
93,17
94,19
95,36
96,14
97,18
98,20
99,20
100,28
